s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000,-3.1167894E-004, 1.3160007E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1166578E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0013534E-001
 7.9056941E-002, 0.0000000E+000,-6.1340085E-006,-1.5777312E-002, 0.0000000E+000,-4.8212441E-003, 1.9746564E-001, 0.0000000E+000, 0.0000000E+000, 1.7686095E-001, 0.0000000E+000, 2.6609034E-003, 0.0000000E+000,-6.0013534E-001
 1.5811388E-001, 7.1684812E+001,-5.3812986E-005, 6.5306702E-002,-5.2647476E-006,-7.0256216E-003, 1.4685398E+001, 0.0000000E+000, 2.6412674E-001, 8.6428431E+001, 0.0000000E+000, 5.2888886E-003, 0.0000000E+000,-2.3412713E-001
 2.3717083E-001, 4.9656923E+001,-2.4550444E+000,-1.2087945E-001,-2.7013042E-001,-1.6679348E-002, 2.4139621E+001, 0.0000000E+000, 1.0128863E+002, 7.0933810E+001, 0.0000000E+000, 7.8526461E-003, 0.0000000E+000, 3.5768756E+001
 3.1622776E-001, 4.8829501E+002,-9.4144261E+000, 9.4498213E-003,-5.0760148E-001,-1.9943947E-002, 1.0290050E+002, 0.0000000E+000, 6.5599625E+001, 5.8126299E+002, 0.0000000E+000, 1.0323921E-002, 0.0000000E+000, 5.9084937E+001
 3.6157241E-001, 4.5023870E+002,-8.7384342E+001,-9.8823648E-002,-2.3764856E+000,-2.9846221E-002, 1.5978012E+002, 0.0000000E+000, 6.5397953E+002, 5.2012933E+002, 0.0000000E+000, 1.1690121E-002, 0.0000000E+000, 1.8952154E+002
 4.0691707E-001, 5.9438847E+002,-2.0846800E+002,-7.4776772E-002,-3.4184385E+000,-2.7263047E-002, 1.3727797E+002, 0.0000000E+000, 4.9576912E+002, 5.1967796E+002, 0.0000000E+000, 1.3014071E-002, 0.0000000E+000, 2.8650145E+002
 4.5679620E-001, 6.1761123E+002,-5.1488531E+002,-1.3265777E-001,-4.6391615E+000,-3.2094760E-002, 8.9765594E+001, 0.0000000E+000, 5.1714546E+002, 1.8768760E+002, 0.0000000E+000, 1.4417754E-002, 0.0000000E+000, 3.9607134E+002
 4.9779421E-001, 7.3646605E+002,-3.2198197E+002,-4.1992779E-002,-4.1929455E+000,-3.2521226E-002, 9.1688841E+001, 0.0000000E+000, 1.3996052E+002, 5.0190547E+002, 0.0000000E+000, 1.5527790E-002, 0.0000000E+000, 4.2169390E+002
 5.3879225E-001, 6.6277616E+002,-5.8353499E+002,-1.2875619E-001,-5.5815670E+000,-3.8759389E-002, 8.6869787E+001, 0.0000000E+000, 5.4559176E+002, 1.6036187E+002, 0.0000000E+000, 1.6596721E-002, 0.0000000E+000, 5.1384405E+002
 5.8389008E-001, 5.7664064E+002,-2.4191917E+002,-4.1370915E-002,-4.7667376E+000,-3.4671549E-002, 7.1340896E+001, 0.0000000E+000, 1.0875059E+002, 4.0121958E+002, 0.0000000E+000, 1.7723709E-002, 0.0000000E+000, 5.3596114E+002
 6.3349771E-001, 3.1830853E+002,-2.4464376E+002,-6.9823624E-002,-5.9817833E+000,-4.2400226E-002, 6.8758559E+001, 0.0000000E+000, 4.3330056E+002, 1.3632932E+002, 0.0000000E+000, 1.8903145E-002, 0.0000000E+000, 6.2318036E+002
 6.8806607E-001, 3.2863237E+002,-1.1155450E+002,-1.5471995E-001,-4.9316596E+000,-4.0742353E-002, 5.3086761E+001, 0.0000000E+000, 9.9133174E+001, 2.6503751E+002, 0.0000000E+000, 2.0126877E-002, 0.0000000E+000, 6.4762165E+002
 7.4809128E-001, 3.2223508E+002,-1.1033924E+002,-9.5145708E-002,-4.8535375E+000,-4.5022666E-002, 7.3037610E+001, 0.0000000E+000, 2.8736786E+002, 2.7993974E+002, 0.0000000E+000, 2.1383949E-002, 0.0000000E+000, 7.1841656E+002
 7.9345083E-001, 3.7474522E+002,-8.6551030E+001,-1.1874715E-001,-4.6189535E+000,-4.7885346E-002, 8.7971943E+001, 0.0000000E+000, 2.7745279E+002, 3.7138055E+002, 0.0000000E+000, 2.2272707E-002, 0.0000000E+000, 7.7065499E+002
 8.3136356E-001, 4.5756467E+002,-1.1951745E+002,-1.2803425E-001,-4.8132710E+000,-5.1182466E-002, 1.0934927E+002, 0.0000000E+000, 3.8345545E+002, 4.4240399E+002, 0.0000000E+000, 2.2975871E-002, 0.0000000E+000, 8.3047202E+002
 8.6927623E-001, 5.1679902E+002,-1.5886918E+002,-1.4375665E-001,-4.7535519E+000,-5.1790290E-002, 1.2324397E+002, 0.0000000E+000, 4.4944977E+002, 4.7622471E+002, 0.0000000E+000, 2.3643645E-002, 0.0000000E+000, 9.0122510E+002
 9.0718889E-001, 5.1299286E+002,-1.3652716E+002,-1.6086155E-001,-4.7563801E+000,-5.2581156E-002, 1.3141634E+002, 0.0000000E+000, 4.7882740E+002, 5.0291222E+002, 0.0000000E+000, 2.4276860E-002, 0.0000000E+000, 9.7716015E+002
 9.4094658E-001, 5.3211239E+002,-1.2000194E+002,-1.5269319E-001,-4.6667801E+000,-5.1268284E-002, 1.4275698E+002, 0.0000000E+000, 5.0657440E+002, 5.4999668E+002, 0.0000000E+000, 2.4812348E-002, 0.0000000E+000, 1.0491025E+003
 9.7470433E-001, 6.3664759E+002,-1.7141033E+002,-1.4466339E-001,-4.7048285E+000,-4.9962352E-002, 1.5883169E+002, 0.0000000E+000, 5.5548127E+002, 6.1916950E+002, 0.0000000E+000, 2.5321893E-002, 0.0000000E+000, 1.1284394E+003
 1.0045676E+000, 7.0853808E+002,-1.9291438E+002,-1.4674656E-001,-4.7328675E+000,-5.2976806E-002, 1.7733442E+002, 0.0000000E+000, 6.2767844E+002, 6.8802554E+002, 0.0000000E+000, 2.5751640E-002, 0.0000000E+000, 1.2073186E+003
 1.0344309E+000, 7.8056476E+002,-2.1666779E+002,-1.5821485E-001,-4.7976830E+000,-5.6845860E-002, 1.9659313E+002, 0.0000000E+000, 6.9644287E+002, 7.5547735E+002, 0.0000000E+000, 2.6162232E-002, 0.0000000E+000, 1.2950222E+003
 1.0642942E+000, 8.4758706E+002,-2.2772479E+002,-1.6109598E-001,-4.8206731E+000,-5.8383935E-002, 2.1748826E+002, 0.0000000E+000, 7.6362428E+002, 8.3231037E+002, 0.0000000E+000, 2.6554238E-002, 0.0000000E+000, 1.3917193E+003
 1.0901525E+000, 9.2499740E+002,-2.5673597E+002,-1.5958318E-001,-4.8927723E+000,-5.7079261E-002, 2.3739689E+002, 0.0000000E+000, 8.4118290E+002, 9.0054888E+002, 0.0000000E+000, 2.6879105E-002, 0.0000000E+000, 1.4843071E+003
 1.1160108E+000, 1.0151481E+003,-2.9905964E+002,-1.6586753E-001,-5.0288870E+000,-5.6070926E-002, 2.5494721E+002, 0.0000000E+000, 9.0678169E+002, 9.6578485E+002, 0.0000000E+000, 2.7190857E-002, 0.0000000E+000, 1.5842482E+003
 1.1418691E+000, 1.1008949E+003,-3.3172333E+002,-1.6514474E-001,-5.1348360E+000,-5.7558022E-002, 2.7378460E+002, 0.0000000E+000, 9.7339654E+002, 1.0375986E+003, 0.0000000E+000, 2.7489879E-002, 0.0000000E+000, 1.6915698E+003
 1.1629593E+000, 1.1651836E+003,-3.5552636E+002,-1.6428682E-001,-5.2217837E+000,-5.8744885E-002, 2.9059165E+002, 0.0000000E+000, 1.0435716E+003, 1.0948041E+003, 0.0000000E+000, 2.7724609E-002, 0.0000000E+000, 1.7850870E+003
 1.1840496E+000, 1.1849750E+003,-3.4561364E+002,-1.6602158E-001,-5.3115657E+000,-6.0405145E-002, 3.0556807E+002, 0.0000000E+000, 1.1001885E+003, 1.1393915E+003, 0.0000000E+000, 2.7951340E-002, 0.0000000E+000, 1.8841011E+003
 1.2051400E+000, 1.2042836E+003,-3.4696508E+002,-1.7175983E-001,-5.3743891E+000,-6.1691328E-002, 3.1723498E+002, 0.0000000E+000, 1.1447883E+003, 1.1689456E+003, 0.0000000E+000, 2.8170283E-002, 0.0000000E+000, 1.9876967E+003
