,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2022-07-08T14:17:01.176+00:00,   0.791E-01,   0.07906,   0.200E+01
      2,2022-07-08T14:17:01.263+00:00,   0.791E-01,   0.15811,   0.209E+01
      3,2022-07-08T14:17:01.389+00:00,   0.791E-01,   0.23717,   0.222E+01
      4,2022-07-08T14:17:01.479+00:00,   0.791E-01,   0.31623,   0.231E+01
      5,2022-07-08T14:17:01.569+00:00,   0.791E-01,   0.39528,   0.240E+01
      6,2022-07-08T14:17:01.701+00:00,   0.791E-01,   0.47434,   0.253E+01
      7,2022-07-08T14:17:01.796+00:00,   0.791E-01,   0.55340,   0.262E+01
      8,2022-07-08T14:17:01.888+00:00,   0.791E-01,   0.63246,   0.272E+01
      9,2022-07-08T14:17:02.019+00:00,   0.791E-01,   0.71151,   0.285E+01
     10,2022-07-08T14:17:02.108+00:00,   0.791E-01,   0.79057,   0.294E+01
     20,2022-07-08T14:17:03.264+00:00,   0.355E-01,   1.26728,   0.409E+01
     30,2022-07-08T14:17:04.407+00:00,   0.173E-01,   1.51265,   0.523E+01
     40,2022-07-08T14:17:05.463+00:00,   0.165E-01,   1.69184,   0.629E+01
     50,2022-07-08T14:17:06.498+00:00,   0.126E-01,   1.83061,   0.733E+01
     60,2022-07-08T14:17:07.514+00:00,   0.126E-01,   1.95702,   0.834E+01
     70,2022-07-08T14:17:08.551+00:00,   0.922E-02,   2.06488,   0.938E+01
     80,2022-07-08T14:17:09.620+00:00,   0.745E-02,   2.14992,   0.104E+02
     90,2022-07-08T14:17:10.614+00:00,   0.745E-02,   2.22439,   0.114E+02
    100,2022-07-08T14:17:11.544+00:00,   0.819E-02,   2.30631,   0.124E+02
    200,2022-07-08T14:17:21.236+00:00,   0.692E-02,   3.06844,   0.221E+02
    300,2022-07-08T14:17:31.405+00:00,   0.814E-02,   3.87514,   0.322E+02
    400,2022-07-08T14:17:41.631+00:00,   0.790E-02,   4.73477,   0.425E+02
    500,2022-07-08T14:17:51.848+00:00,   0.907E-02,   5.57379,   0.527E+02
    600,2022-07-08T14:18:02.756+00:00,   0.975E-02,   6.49100,   0.636E+02
    700,2022-07-08T14:18:13.204+00:00,   0.101E-01,   7.39793,   0.740E+02
    800,2022-07-08T14:18:23.992+00:00,   0.982E-02,   8.29087,   0.848E+02
    900,2022-07-08T14:18:34.795+00:00,   0.928E-02,   9.21686,   0.956E+02
   1000,2022-07-08T14:18:45.526+00:00,   0.950E-02,  10.10388,   0.106E+03
   1100,2022-07-08T14:18:56.217+00:00,   0.101E-01,  11.04439,   0.117E+03
   1200,2022-07-08T14:19:07.033+00:00,   0.986E-02,  11.98219,   0.128E+03
   1300,2022-07-08T14:19:17.845+00:00,   0.104E-01,  12.94260,   0.139E+03
   1400,2022-07-08T14:19:28.671+00:00,   0.102E-01,  13.92565,   0.149E+03
   1500,2022-07-08T14:19:39.587+00:00,   0.109E-01,  15.00282,   0.160E+03
   1600,2022-07-08T14:19:50.402+00:00,   0.109E-01,  16.03521,   0.171E+03
   1700,2022-07-08T14:20:01.176+00:00,   0.106E-01,  17.09863,   0.182E+03
   1800,2022-07-08T14:20:11.946+00:00,   0.108E-01,  18.11666,   0.193E+03
   1900,2022-07-08T14:20:22.850+00:00,   0.112E-01,  19.14820,   0.204E+03
   2000,2022-07-08T14:20:33.553+00:00,   0.964E-02,  20.25349,   0.214E+03
   2100,2022-07-08T14:20:44.019+00:00,   0.103E-01,  21.30571,   0.225E+03
   2200,2022-07-08T14:20:54.417+00:00,   0.997E-02,  22.35654,   0.235E+03
   2300,2022-07-08T14:21:04.940+00:00,   0.119E-01,  23.48299,   0.246E+03
   2400,2022-07-08T14:21:15.568+00:00,   0.117E-01,  24.59933,   0.256E+03
   2500,2022-07-08T14:21:26.049+00:00,   0.129E-01,  25.78690,   0.267E+03
   2600,2022-07-08T14:21:36.659+00:00,   0.113E-01,  27.00596,   0.277E+03
   2700,2022-07-08T14:21:47.270+00:00,   0.971E-02,  28.16134,   0.288E+03
   2800,2022-07-08T14:21:57.870+00:00,   0.111E-01,  29.24879,   0.299E+03
   2866,2022-07-08T14:22:04.882+00:00,   0.614E-02,  30.00000,   0.306E+03
