,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2022-07-08T14:06:36.706+00:00,   0.791E-01,   0.07906,   0.281E+01
      2,2022-07-08T14:06:36.833+00:00,   0.791E-01,   0.15811,   0.293E+01
      3,2022-07-08T14:06:37.019+00:00,   0.791E-01,   0.23717,   0.312E+01
      4,2022-07-08T14:06:37.148+00:00,   0.791E-01,   0.31623,   0.325E+01
      5,2022-07-08T14:06:37.327+00:00,   0.453E-01,   0.36157,   0.343E+01
      6,2022-07-08T14:06:37.524+00:00,   0.453E-01,   0.40692,   0.362E+01
      7,2022-07-08T14:06:37.670+00:00,   0.499E-01,   0.45680,   0.377E+01
      8,2022-07-08T14:06:37.869+00:00,   0.410E-01,   0.49779,   0.397E+01
      9,2022-07-08T14:06:38.062+00:00,   0.410E-01,   0.53879,   0.416E+01
     10,2022-07-08T14:06:38.173+00:00,   0.451E-01,   0.58389,   0.427E+01
     20,2022-07-08T14:06:39.919+00:00,   0.299E-01,   1.00457,   0.602E+01
     30,2022-07-08T14:06:41.636+00:00,   0.186E-01,   1.24236,   0.774E+01
     40,2022-07-08T14:06:43.215+00:00,   0.127E-01,   1.39949,   0.931E+01
     50,2022-07-08T14:06:44.905+00:00,   0.127E-01,   1.52625,   0.110E+02
     60,2022-07-08T14:06:46.311+00:00,   0.102E-01,   1.62838,   0.124E+02
     70,2022-07-08T14:06:47.652+00:00,   0.902E-02,   1.72219,   0.138E+02
     80,2022-07-08T14:06:49.138+00:00,   0.794E-02,   1.80811,   0.152E+02
     90,2022-07-08T14:06:50.654+00:00,   0.874E-02,   1.88835,   0.168E+02
    100,2022-07-08T14:06:52.222+00:00,   0.874E-02,   1.97574,   0.183E+02
    200,2022-07-08T14:07:06.438+00:00,   0.532E-02,   2.59693,   0.325E+02
    300,2022-07-08T14:07:22.132+00:00,   0.569E-02,   3.16085,   0.482E+02
    400,2022-07-08T14:07:36.862+00:00,   0.727E-02,   3.73700,   0.630E+02
    500,2022-07-08T14:07:49.348+00:00,   0.679E-02,   4.31150,   0.754E+02
    600,2022-07-08T14:08:04.538+00:00,   0.651E-02,   4.96473,   0.906E+02
    700,2022-07-08T14:08:18.608+00:00,   0.671E-02,   5.63812,   0.105E+03
    800,2022-07-08T14:08:32.688+00:00,   0.620E-02,   6.32472,   0.119E+03
    900,2022-07-08T14:08:49.086+00:00,   0.705E-02,   7.03733,   0.135E+03
   1000,2022-07-08T14:09:02.862+00:00,   0.755E-02,   7.75794,   0.149E+03
   1100,2022-07-08T14:09:18.307+00:00,   0.866E-02,   8.51217,   0.164E+03
   1200,2022-07-08T14:09:33.861+00:00,   0.733E-02,   9.30569,   0.180E+03
   1300,2022-07-08T14:09:47.243+00:00,   0.764E-02,  10.05372,   0.193E+03
   1400,2022-07-08T14:10:01.904+00:00,   0.818E-02,  10.79774,   0.208E+03
   1500,2022-07-08T14:10:17.990+00:00,   0.892E-02,  11.54729,   0.224E+03
   1600,2022-07-08T14:10:31.566+00:00,   0.848E-02,  12.37565,   0.238E+03
   1700,2022-07-08T14:10:47.497+00:00,   0.867E-02,  13.22109,   0.254E+03
   1800,2022-07-08T14:11:02.891+00:00,   0.883E-02,  14.06317,   0.269E+03
   1900,2022-07-08T14:11:17.836+00:00,   0.925E-02,  14.90041,   0.284E+03
   2000,2022-07-08T14:11:34.023+00:00,   0.989E-02,  15.78843,   0.300E+03
   2100,2022-07-08T14:11:48.712+00:00,   0.825E-02,  16.71626,   0.315E+03
   2200,2022-07-08T14:12:03.438+00:00,   0.999E-02,  17.64210,   0.330E+03
   2300,2022-07-08T14:12:17.757+00:00,   0.918E-02,  18.54487,   0.344E+03
   2400,2022-07-08T14:12:31.817+00:00,   0.864E-02,  19.44920,   0.358E+03
   2500,2022-07-08T14:12:46.050+00:00,   0.817E-02,  20.32167,   0.372E+03
   2600,2022-07-08T14:13:01.619+00:00,   0.775E-02,  21.20867,   0.388E+03
   2700,2022-07-08T14:13:17.078+00:00,   0.102E-01,  22.14675,   0.403E+03
   2800,2022-07-08T14:13:30.413+00:00,   0.884E-02,  23.06934,   0.417E+03
   2900,2022-07-08T14:13:42.891+00:00,   0.846E-02,  24.00283,   0.429E+03
   3000,2022-07-08T14:13:54.976+00:00,   0.901E-02,  24.89660,   0.441E+03
   3100,2022-07-08T14:14:07.081+00:00,   0.962E-02,  25.81445,   0.453E+03
   3200,2022-07-08T14:14:19.308+00:00,   0.926E-02,  26.72828,   0.465E+03
   3300,2022-07-08T14:14:30.088+00:00,   0.891E-02,  27.70178,   0.476E+03
   3400,2022-07-08T14:14:40.623+00:00,   0.987E-02,  28.62623,   0.487E+03
   3500,2022-07-08T14:14:51.266+00:00,   0.844E-02,  29.60418,   0.497E+03
   3545,2022-07-08T14:14:55.982+00:00,   0.411E-02,  30.00000,   0.502E+03
