s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000,-3.1167894E-004, 1.3160007E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1166578E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0013534E-001
 7.9056941E-002, 0.0000000E+000,-6.1340085E-006,-4.8475139E-003, 0.0000000E+000,-2.1699858E-003, 6.5725354E-002, 0.0000000E+000, 0.0000000E+000, 5.8701721E-002, 0.0000000E+000, 8.8695894E-004, 0.0000000E+000,-6.0013534E-001
 1.5811388E-001, 2.4526194E+001,-2.2020853E-005, 2.6441214E-002,-1.3595970E-006,-3.6298368E-003, 5.0261411E+000, 0.0000000E+000, 8.7847737E-002, 2.9575123E+001, 0.0000000E+000, 1.7629452E-003, 0.0000000E+000,-4.7817247E-001
 2.3717083E-001, 6.6951972E+000,-9.3612728E-001,-3.8723344E-002,-6.5449041E-002,-6.0215180E-003, 6.2197022E+000, 0.0000000E+000, 3.4708646E+001, 1.1868578E+001, 0.0000000E+000, 2.6175225E-003, 0.0000000E+000, 1.1862621E+001
 3.1622776E-001, 1.6301910E+002,-2.6029401E+000, 3.3541214E-002,-8.5301815E-002,-6.8446821E-003, 3.3187142E+001, 0.0000000E+000, 8.1312001E+000, 1.9354469E+002, 0.0000000E+000, 3.4412725E-003, 0.0000000E+000, 1.4918853E+001
 3.9528471E-001, 7.2606450E+001,-1.4703651E+001,-4.4419897E-002,-9.7812953E-001,-1.1230298E-002, 4.2898542E+001, 0.0000000E+000, 2.2303765E+002, 9.9767561E+001, 0.0000000E+000, 4.2261760E-003, 0.0000000E+000, 9.3668591E+001
 4.7434166E-001, 2.6851472E+002,-2.9238186E+001, 3.3983314E-002,-1.3234491E+000,-1.0954279E-002, 5.6923630E+001, 0.0000000E+000, 7.9409143E+001, 2.9489975E+002, 0.0000000E+000, 4.9658656E-003, 0.0000000E+000, 1.2128041E+002
 5.5339861E-001, 1.6198784E+002,-1.4816060E+002,-4.6694868E-002,-3.0654386E+000,-1.4874643E-002, 4.7107915E+001, 0.0000000E+000, 3.2372958E+002, 5.7808153E+001, 0.0000000E+000, 5.6557394E-003, 0.0000000E+000, 2.3344114E+002
 6.3245553E-001, 3.1724457E+002,-9.5542245E+001,-2.3741860E-004,-2.6892558E+000,-1.4175432E-002, 4.3149414E+001, 0.0000000E+000, 1.7194340E+001, 2.6214807E+002, 0.0000000E+000, 6.2929441E-003, 0.0000000E+000, 2.3953045E+002
 7.1151245E-001, 2.3712175E+002,-2.6865690E+002,-2.8603664E-002,-4.2697094E+000,-1.7959818E-002, 3.4733290E+001, 0.0000000E+000, 2.9382799E+002,-1.1181343E+000, 0.0000000E+000, 6.8762517E-003, 0.0000000E+000, 3.3933259E+002
 7.9056942E-001, 3.0468453E+002,-8.5778066E+001,-1.9457896E-002,-2.7518190E+000,-1.8404246E-002, 3.4810307E+001, 0.0000000E+000,-4.4440121E+001, 2.5092709E+002, 0.0000000E+000, 7.4058582E-003, 0.0000000E+000, 3.2690274E+002
 8.6962634E-001, 2.7238644E+002,-2.5165554E+002,-4.7480153E-002,-3.9938245E+000,-2.0729533E-002, 4.3763217E+001, 0.0000000E+000, 2.9040734E+002, 6.0432090E+001, 0.0000000E+000, 7.8831378E-003, 0.0000000E+000, 4.2446880E+002
 9.2626309E-001, 3.1622679E+002,-9.9142639E+001,-3.0786385E-002,-3.0944157E+000,-2.1128344E-002, 4.4695667E+001, 0.0000000E+000, 2.8677487E+001, 2.5863349E+002, 0.0000000E+000, 8.1941380E-003, 0.0000000E+000, 4.3366105E+002
 9.8289990E-001, 3.0522864E+002,-1.4245886E+002,-4.8391222E-002,-3.6194649E+000,-2.2011549E-002, 6.9587168E+001, 0.0000000E+000, 2.9045492E+002, 2.2866708E+002, 0.0000000E+000, 8.4805054E-003, 0.0000000E+000, 5.0368338E+002
 1.0314181E+000, 2.6741432E+002,-8.7124476E+001,-5.6748180E-002,-3.4505269E+000,-2.2107110E-002, 6.4117128E+001, 0.0000000E+000, 2.2014609E+002, 2.4087759E+002, 0.0000000E+000, 8.7071334E-003, 0.0000000E+000, 5.4999418E+002
 1.0799363E+000, 3.0845171E+002,-9.5510964E+001,-4.3162702E-002,-3.2638798E+000,-2.3029037E-002, 7.4315481E+001, 0.0000000E+000, 2.4427027E+002, 2.8392615E+002, 0.0000000E+000, 8.9173590E-003, 0.0000000E+000, 6.0172759E+002
 1.1203482E+000, 3.1932516E+002,-9.6883719E+001,-4.8219878E-002,-3.1962220E+000,-2.3948785E-002, 8.3038597E+001, 0.0000000E+000, 2.8941335E+002, 3.0221165E+002, 0.0000000E+000, 9.0805402E-003, 0.0000000E+000, 6.5296273E+002
 1.1607602E+000, 3.2950490E+002,-9.3171018E+001,-5.0158355E-002,-3.0511625E+000,-2.4300942E-002, 8.7936413E+001, 0.0000000E+000, 3.0394256E+002, 3.2114468E+002, 0.0000000E+000, 9.2334109E-003, 0.0000000E+000, 7.0700669E+002
 1.1962653E+000, 3.4747027E+002,-8.3741463E+001,-4.9938024E-002,-2.9574437E+000,-2.4078985E-002, 9.5703037E+001, 0.0000000E+000, 3.2326334E+002, 3.5640039E+002, 0.0000000E+000, 9.3596031E-003, 0.0000000E+000, 7.5748176E+002
 1.2317706E+000, 3.8670895E+002,-1.0392797E+002,-5.0358582E-002,-2.9322506E+000,-2.4332998E-002, 1.0451386E+002, 0.0000000E+000, 3.6072882E+002, 3.8428790E+002, 0.0000000E+000, 9.4785524E-003, 0.0000000E+000, 8.1369562E+002
 1.2672758E+000, 4.2257676E+002,-1.1993004E+002,-5.1275305E-002,-2.9296925E+000,-2.5752791E-002, 1.1240076E+002, 0.0000000E+000, 3.8708742E+002, 4.1204076E+002, 0.0000000E+000, 9.5905901E-003, 0.0000000E+000, 8.7401609E+002
 1.2992222E+000, 4.4009356E+002,-1.1335360E+002,-5.1475883E-002,-2.9615701E+000,-2.6505188E-002, 1.2155621E+002, 0.0000000E+000, 4.1537094E+002, 4.4525663E+002, 0.0000000E+000, 9.6857610E-003, 0.0000000E+000, 9.3248027E+002
 1.3311687E+000, 4.5643005E+002,-1.2210090E+002,-5.3369369E-002,-2.9871430E+000,-2.6803238E-002, 1.2815592E+002, 0.0000000E+000, 4.4932665E+002, 4.5941776E+002, 0.0000000E+000, 9.7758352E-003, 0.0000000E+000, 9.9588991E+002
 1.3583940E+000, 4.7537545E+002,-1.2273866E+002,-5.1680202E-002,-3.0209663E+000,-2.6947783E-002, 1.3319670E+002, 0.0000000E+000, 4.6021743E+002, 4.8273390E+002, 0.0000000E+000, 9.8487479E-003, 0.0000000E+000, 1.0513375E+003
 1.3856194E+000, 4.8744116E+002,-1.3509916E+002,-5.4551150E-002,-3.1114672E+000,-2.7264960E-002, 1.3661237E+002, 0.0000000E+000, 4.8513932E+002, 4.8576109E+002, 0.0000000E+000, 9.9182645E-003, 0.0000000E+000, 1.1096910E+003
 1.4075655E+000, 4.9979614E+002,-1.3425285E+002,-5.1872925E-002,-3.1538490E+000,-2.7421737E-002, 1.3896574E+002, 0.0000000E+000, 4.8509615E+002, 5.0127589E+002, 0.0000000E+000, 9.9719215E-003, 0.0000000E+000, 1.1567552E+003
 1.4295115E+000, 5.0465407E+002,-1.3970455E+002,-5.3461187E-002,-3.2225121E+000,-2.7567375E-002, 1.4132578E+002, 0.0000000E+000, 5.0296778E+002, 5.0297176E+002, 0.0000000E+000, 1.0023530E-002, 0.0000000E+000, 1.2054510E+003
 1.4514576E+000, 5.1739602E+002,-1.4214635E+002,-5.2328872E-002,-3.2916965E+000,-2.7740011E-002, 1.4350086E+002, 0.0000000E+000, 5.0238021E+002, 5.1537876E+002, 0.0000000E+000, 1.0073158E-002, 0.0000000E+000, 1.2541734E+003
 1.4734037E+000, 5.1739916E+002,-1.4305196E+002,-5.3005512E-002,-3.3812803E+000,-2.7769348E-002, 1.4551162E+002, 0.0000000E+000, 5.1630257E+002, 5.1639676E+002, 0.0000000E+000, 1.0120872E-002, 0.0000000E+000, 1.3042357E+003
